record_id,type_of_reference,title,abstract,authors,language,keywords,doi
938,JOUR,"Giardiasis Outbreaks-United States, 2012-2017.",,,eng,,10.1097/INF.0000000000003180
1087,JOUR,[The effect of gut microbiota composition on immunogenicity of rotavirus vaccine].,,"['{\'author\': \'Yang, T\', \'author_abbreviated\': \'Yang T\', \'affiliations\': [""Department of Gastroenterology, the Children\'s Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Child Health, National Children\'s Regional Medical Center,Hangzhou 310052, ChinaYang Ting is working on the Department of Pediatrics, Taizhou Central Hospital (Taizhou University Hospital), Taizhou 318015, China.""], \'first_name\': \'T\', \'last_name\': \'Yang\'}', '{\'author\': \'Jiang, M Z\', \'author_abbreviated\': \'Jiang MZ\', \'affiliations\': [""Department of Gastroenterology, the Children\'s Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Child Health, National Children\'s Regional Medical Center,Hangzhou 310052, ChinaYang Ting is working on the Department of Pediatrics, Taizhou Central Hospital (Taizhou University Hospital), Taizhou 318015, China.""], \'first_name\': \'M Z\', \'last_name\': \'Jiang\'}']",chi,,10.3760/cma.j.cn112140-20200508-00480
1162,JOUR,Treatment of giardiasis in children: Randomized trial of rectal metronidazole versus oral tinidazole.,,"['{\'author\': \'Vakkilainen, Svetlana\', \'author_abbreviated\': \'Vakkilainen S\', \'affiliations\': [""New Children\'s Hospital, Pediatric Research Center, University of Helsinki and HUS Helsinki University Hospital, Stenbäckinkatu 9, PL 347, 00290 Helsinki, Finland. Electronic address: svetlana.vakkilainen@hus.fi.""], \'first_name\': \'Svetlana\', \'last_name\': \'Vakkilainen\'}', '{\'author\': \'Nieminen, Tea\', \'author_abbreviated\': \'Nieminen T\', \'affiliations\': [""New Children\'s Hospital, Pediatric Research Center, University of Helsinki and HUS Helsinki University Hospital, Stenbäckinkatu 9, PL 347, 00290 Helsinki, Finland.""], \'first_name\': \'Tea\', \'last_name\': \'Nieminen\'}', '{\'author\': \'Björkbacka, Susanna\', \'author_abbreviated\': \'Björkbacka S\', \'affiliations\': [""New Children\'s Hospital, Pediatric Research Center, University of Helsinki and HUS Helsinki University Hospital, Stenbäckinkatu 9, PL 347, 00290 Helsinki, Finland.""], \'first_name\': \'Susanna\', \'last_name\': \'Björkbacka\'}', '{\'author\': \'Saavalainen-Hakala, Tarja\', \'author_abbreviated\': \'Saavalainen-Hakala T\', \'affiliations\': [""New Children\'s Hospital, Pediatric Research Center, University of Helsinki and HUS Helsinki University Hospital, Stenbäckinkatu 9, PL 347, 00290 Helsinki, Finland.""], \'first_name\': \'Tarja\', \'last_name\': \'Saavalainen-Hakala\'}', '{\'author\': \'Salo, Eeva\', \'author_abbreviated\': \'Salo E\', \'affiliations\': [""New Children\'s Hospital, Pediatric Research Center, University of Helsinki and HUS Helsinki University Hospital, Stenbäckinkatu 9, PL 347, 00290 Helsinki, Finland.""], \'first_name\': \'Eeva\', \'last_name\': \'Salo\'}']",eng,,10.1016/j.jinf.2020.08.050
1226,JOUR,The Growth of Young Children and Associations With Their Intestinal Microbiota and Campylobacter.,,"[""{'author': 'Stine, O Colin', 'author_abbreviated': 'Stine OC', 'affiliations': ['Department of Epidemiology and Public Health, University of Maryland, Baltimore, Maryland, USA.'], 'first_name': 'O Colin', 'last_name': 'Stine'}""]",eng,,10.1093/cid/ciz907
1257,JOUR,Refractory giardiasis in medical students returning from humanitarian work abroad.,,"[""{'author': 'Dao, Thi Loi', 'author_abbreviated': 'Dao TL', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France; Thai Binh University of Medicine and Pharmacy, Thai Binh, Viet Nam.'], 'first_name': 'Thi Loi', 'last_name': 'Dao'}"", ""{'author': 'Sevestre, Jacques', 'author_abbreviated': 'Sevestre J', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France.'], 'first_name': 'Jacques', 'last_name': 'Sevestre'}"", ""{'author': 'Hoang, Van Thuan', 'author_abbreviated': 'Hoang VT', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France; Thai Binh University of Medicine and Pharmacy, Thai Binh, Viet Nam.'], 'first_name': 'Van Thuan', 'last_name': 'Hoang'}"", ""{'author': 'Ly, Tran Duc Anh', 'author_abbreviated': 'Ly TDA', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France.'], 'first_name': 'Tran Duc Anh', 'last_name': 'Ly'}"", ""{'author': 'Ranqu, Stéphane', 'author_abbreviated': 'Ranqu S', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France.'], 'first_name': 'Stéphane', 'last_name': 'Ranqu'}"", ""{'author': 'Parola, Philippe', 'author_abbreviated': 'Parola P', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France.'], 'first_name': 'Philippe', 'last_name': 'Parola'}"", ""{'author': 'Gautret, Philippe', 'author_abbreviated': 'Gautret P', 'affiliations': ['Aix Marseille Univ, IRD, AP-HM, SSA, VITROME, Marseille, France; IHU-Méditerranée Infection, Marseille, France. Electronic address: philippe.gautret@ap-hm.fr.'], 'first_name': 'Philippe', 'last_name': 'Gautret'}""]",eng,,10.1016/j.tmaid.2019.101469
1330,JOUR,The skin microbiota as a link between rosacea and its systemic comorbidities.,,"[""{'author': 'Thompson, Katherine G', 'author_abbreviated': 'Thompson KG', 'affiliations': ['Department of Dermatology, Johns Hopkins University, Baltimore, MD, USA.'], 'first_name': 'Katherine G', 'last_name': 'Thompson'}"", ""{'author': 'Rainer, Barbara M', 'author_abbreviated': 'Rainer BM', 'affiliations': ['Department of Dermatology, Medical University of Graz, Graz, Austria.'], 'first_name': 'Barbara M', 'last_name': 'Rainer'}"", ""{'author': 'Kang, Sewon', 'author_abbreviated': 'Kang S', 'affiliations': ['Department of Dermatology, Johns Hopkins University, Baltimore, MD, USA.'], 'first_name': 'Sewon', 'last_name': 'Kang'}"", ""{'author': 'Chien, Anna L', 'author_abbreviated': 'Chien AL', 'affiliations': ['Department of Dermatology, Johns Hopkins University, Baltimore, MD, USA.'], 'first_name': 'Anna L', 'last_name': 'Chien'}""]",eng,,10.1111/ijd.14802
1533,JOUR,A new strategy for high-throughput identification of human gut microbiota containing specific monosaccharide.,,"[""{'author': 'Wu, Qizheng', 'author_abbreviated': 'Wu Q', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Qizheng', 'last_name': 'Wu'}"", ""{'author': 'Liu, Fang', 'author_abbreviated': 'Liu F', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Fang', 'last_name': 'Liu'}"", ""{'author': 'Song, Yu', 'author_abbreviated': 'Song Y', 'affiliations': ['School of Journalism and Communication, Shandong University, Jinan, 250100, China.'], 'first_name': 'Yu', 'last_name': 'Song'}"", ""{'author': 'Meng, Qingyun', 'author_abbreviated': 'Meng Q', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Qingyun', 'last_name': 'Meng'}"", ""{'author': 'Zhang, Xunlian', 'author_abbreviated': 'Zhang X', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Xunlian', 'last_name': 'Zhang'}"", ""{'author': 'Li, Huizi', 'author_abbreviated': 'Li H', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Huizi', 'last_name': 'Li'}"", ""{'author': 'Sun, Jingyu', 'author_abbreviated': 'Sun J', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Jingyu', 'last_name': 'Sun'}"", ""{'author': 'Gao, Hongqi', 'author_abbreviated': 'Gao H', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.'], 'first_name': 'Hongqi', 'last_name': 'Gao'}"", ""{'author': 'Wang, Peng George', 'author_abbreviated': 'Wang PG', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China.', 'Department of Chemistry, Georgia State University, Atlanta, GA, 30303, USA.'], 'first_name': 'Peng George', 'last_name': 'Wang'}"", ""{'author': 'Kong, Yun', 'author_abbreviated': 'Kong Y', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China. kongyun@sdu.edu.cn.'], 'first_name': 'Yun', 'last_name': 'Kong'}"", ""{'author': 'Chen, Min', 'author_abbreviated': 'Chen M', 'affiliations': ['The State Key Laboratory of Microbial Technology and National Glycoengineering Research Center, Shandong University, Qingdao, 266237, China. chenmin@sdu.edu.cn.'], 'first_name': 'Min', 'last_name': 'Chen'}""]",eng,,10.1007/s11427-019-9529-3
1555,JOUR,Examining the influence of weather on rotavirus infection.,,"[""{'author': 'Nichols, Gordon L', 'author_abbreviated': 'Nichols GL', 'affiliations': ['Climate Change Group, Centre for Radiation, Chemical and Environmental Hazards, Public Health England, Didcot OX11 0RQ, UK. Electronic address: gordon.nichols@me.com.'], 'first_name': 'Gordon L', 'last_name': 'Nichols'}"", ""{'author': 'Lo Iacono, Giovanni', 'author_abbreviated': 'Lo Iacono G', 'affiliations': ['School of Veterinary Medicine, Department of Veterinary Epidemiology and Public Health, University of Surrey, Surrey, UK.'], 'first_name': 'Giovanni', 'last_name': 'Lo Iacono'}""]",eng,,10.1016/S2542-5196(19)30093-2
1647,JOUR,Cryptosporidium genotyping and land use mapping for hazard identification and source tracking in a small mixed rural-urban watershed in Southeastern Brazil.,,"[""{'author': 'Andrade, Rosane C', 'author_abbreviated': 'Andrade RC', 'affiliations': ['Ministério da Saúde. Departamento de Saúde Ambiental e Saúde do Trabalhador, Coordenação Geral de Vigilância em Saúde Ambiental, Brasília-DF, 70723-040, Brazil.'], 'first_name': 'Rosane C', 'last_name': 'Andrade'}"", ""{'author': 'Bastos, Rafael K X', 'author_abbreviated': 'Bastos RKX', 'affiliations': ['Departamento de Engenharia Civil, Universidade Federal de Viçosa, Viçosa-MG, 36570-000, Brazil E-mail: rkxb@ufv.br.'], 'first_name': 'Rafael K X', 'last_name': 'Bastos'}"", ""{'author': 'Bevilacqua, Paula D', 'author_abbreviated': 'Bevilacqua PD', 'affiliations': ['Departamento de Veterinária, Universidade Federal de Viçosa, Viçosa-MG, 36570-000, Brazil.'], 'first_name': 'Paula D', 'last_name': 'Bevilacqua'}"", ""{'author': 'Andrade, Rosângela V', 'author_abbreviated': 'Andrade RV', 'affiliations': ['Programa de Pós-graduação em Ciências Genômicas e Biotecnologia, Universidade Católica de Brasília, Brasília-DF, 70790-160, Brazil.'], 'first_name': 'Rosângela V', 'last_name': 'Andrade'}""]",eng,,10.2166/wh.2018.143
1986,JOUR,50 Years Ago in The Journal of Pediatrics: Epidemiology and Etiology of Severe Infantile Diarrhea.,,"[""{'author': 'Shah, Dheeraj', 'author_abbreviated': 'Shah D', 'affiliations': ['University College of Medical Sciences Delhi, India.'], 'first_name': 'Dheeraj', 'last_name': 'Shah'}""]",eng,,10.1016/j.jpeds.2017.07.040
2042,JOUR,Cholangiocytes and the environment in primary sclerosing cholangitis: where is the link?,,"['{\'author\': ""O\'Hara, Steven P"", \'author_abbreviated\': ""O\'Hara SP"", \'affiliations\': [\'Division of Gastroenterology and Hepatology and the Mayo Clinic Center for Cell Signaling in Gastroenterology, Mayo Clinic, Rochester, Minnesota, USA.\'], \'first_name\': \'Steven P\', \'last_name\': ""O\'Hara""}', ""{'author': 'Karlsen, Tom H', 'author_abbreviated': 'Karlsen TH', 'affiliations': ['Division of Surgery, Inflammatory Diseases and Transplantation, Department of Transplantation Medicine, Norwegian PSC Research Center, Oslo University Hospital Rikshospitalet, Oslo, Norway.', 'Institute of Clinical Medicine, University of Oslo, Oslo, Norway.'], 'first_name': 'Tom H', 'last_name': 'Karlsen'}"", ""{'author': 'LaRusso, Nicholas F', 'author_abbreviated': 'LaRusso NF', 'affiliations': ['Division of Gastroenterology and Hepatology and the Mayo Clinic Center for Cell Signaling in Gastroenterology, Mayo Clinic, Rochester, Minnesota, USA.'], 'first_name': 'Nicholas F', 'last_name': 'LaRusso'}""]",eng,"['Cholangiocarcinoma', 'Dietary Factors', 'Environmental Health', 'Epithelial Cells', 'Primary Sclerosing Cholangitis']",10.1136/gutjnl-2017-314249
2118,JOUR,Heat-Stable Oral Rotavirus Vaccine.,,"[""{'author': 'Kaur, Jaspreet', 'author_abbreviated': 'Kaur J', 'affiliations': ['St. Stephen’s Hospital, Delhi, India'], 'first_name': 'Jaspreet', 'last_name': 'Kaur'}"", ""{'author': 'Puliyel, Jacob', 'author_abbreviated': 'Puliyel J', 'affiliations': ['St. Stephen’s Hospital, Delhi, India', 'puliyel@gmail.com'], 'first_name': 'Jacob', 'last_name': 'Puliyel'}""]",eng,,10.1056/NEJMc1705793
2119,JOUR,Heat-Stable Oral Rotavirus Vaccine.,,"[""{'author': 'Isanaka, Sheila', 'author_abbreviated': 'Isanaka S', 'affiliations': ['Harvard T.H. Chan School of Public Health, Boston, MA'], 'first_name': 'Sheila', 'last_name': 'Isanaka'}"", ""{'author': 'Djibo, Ali', 'author_abbreviated': 'Djibo A', 'affiliations': ['University of Niamey, Niamey, Niger'], 'first_name': 'Ali', 'last_name': 'Djibo'}"", ""{'author': 'Grais, Rebecca F', 'author_abbreviated': 'Grais RF', 'affiliations': ['Epicentre, Paris, France rebecca.grais@epicentre.msf.org'], 'first_name': 'Rebecca F', 'last_name': 'Grais'}""]",eng,,10.1056/NEJMc1705793
2270,JOUR,The Gut Microbiome as Possible Key to Understanding and Improving Rotavirus Vaccine Performance in High-Disease Burden Settings.,,"[""{'author': 'Iturriza-Gómara, Miren', 'author_abbreviated': 'Iturriza-Gómara M', 'affiliations': ['Centre for Global Vaccine Research, Institute of Infection and Global Health, University of Liverpool, United Kingdom.'], 'first_name': 'Miren', 'last_name': 'Iturriza-Gómara'}"", ""{'author': 'Cunliffe, Nigel A', 'author_abbreviated': 'Cunliffe NA', 'affiliations': ['Centre for Global Vaccine Research, Institute of Infection and Global Health, University of Liverpool, United Kingdom.'], 'first_name': 'Nigel A', 'last_name': 'Cunliffe'}""]",eng,"['gastroenteritis', 'gut', 'immunogenicity', 'microbiome', 'rotavirus', 'vaccine']",10.1093/infdis/jiw521
